antecedents,consequents,support,confidence,lift
Biscuit,Cookies,0.052675305545513536,0.1181748114714046,0.6665307809473342
Cookies,Biscuit,0.052675305545513536,0.29709979736575476,0.6665307809473342
Cream Biscuits,Biscuit,0.013747957603478305,0.3275379375523815,0.7348174560950811
Fruit Cake,Biscuit,0.01932108980706604,0.23126886999525173,0.5188418904809071
Marie Biscuits,Biscuit,0.025183132705064844,0.386429153889444,0.8669373995084291
Rusk,Biscuit,0.023975096796309728,0.3079496620744686,0.6908719917512212
Sandwich Cream Biscuits,Biscuit,0.040448245690852085,0.34003234148582073,0.7628481208247994
Sweet & Salty Biscuits,Biscuit,0.02038017952880612,0.4839162579085804,1.0856455782089869
Sandwich Cream Biscuits,Cookies,0.0191766344598605,0.16121035179230978,0.9092602758492521
Cookies,Sandwich Cream Biscuits,0.0191766344598605,0.10816024991556905,0.9092602758492521
