itemsets,support,support_count
"frozenset({'Capsicum', 'Potato'})",0.02606128843647112,98327
"frozenset({'Tomato', 'Capsicum'})",0.040424457064221445,152518
"frozenset({'Carrot', 'Chilli'})",0.014100241882004202,53199
"frozenset({'Coriander', 'Carrot'})",0.015897791468345156,59980
"frozenset({'Carrot', 'Cucumber'})",0.02333872439180962,88055
"frozenset({'Ginger', 'Carrot'})",0.01076356365398204,40610
"frozenset({'Carrot', 'Lady Finger'})",0.014213682050531765,53627
"frozenset({'Carrot', 'Onion'})",0.02292922658719494,86510
"frozenset({'Potato', 'Carrot'})",0.019427689048835992,73299
"frozenset({'Tomato', 'Carrot'})",0.029876376721017228,112721
"frozenset({'Cucumber', 'Cauliflower'})",0.01048208360964496,39548
"frozenset({'Lady Finger', 'Cauliflower'})",0.010455843944494891,39449
"frozenset({'Onion', 'Cauliflower'})",0.01395950185983566,52668
"frozenset({'Potato', 'Cauliflower'})",0.013929286487844673,52554
"frozenset({'Tomato', 'Cauliflower'})",0.017737218500077128,66921
"frozenset({'Coriander', 'Chilli'})",0.032887046988084014,124080
"frozenset({'Cucumber', 'Chilli'})",0.029773803484521515,112334
"frozenset({'Curry Leaves', 'Chilli'})",0.010517334876967776,39681
"frozenset({'Chilli', 'Garlic'})",0.016591154741401475,62597
"frozenset({'Ginger', 'Chilli'})",0.024756461451281422,93404
"frozenset({'Lady Finger', 'Chilli'})",0.025061795736664023,94556
"frozenset({'Lemon', 'Chilli'})",0.016567300500355958,62507
"frozenset({'Chilli', 'Onion'})",0.04728175622343896,178390
"frozenset({'Potato', 'Chilli'})",0.038565681592530335,145505
"frozenset({'Tomato', 'Chilli'})",0.05654064736169444,213323
"frozenset({'Coconut', 'Onion'})",0.01021677143979428,38547
"frozenset({'Tomato', 'Coconut'})",0.012077667288467217,45568
"frozenset({'Tomato', 'Colocasia'})",0.0107508413920911,40562
"frozenset({'Coriander', 'Cucumber'})",0.026919245972741493,101564
"frozenset({'Coriander', 'Curry Leaves'})",0.011912277883884976,44944
"frozenset({'Coriander', 'Garlic'})",0.011876496522316702,44809
"frozenset({'Ginger', 'Coriander'})",0.018472989312769916,69697
"frozenset({'Coriander', 'Lady Finger'})",0.01992200193272362,75164
"frozenset({'Coriander', 'Lemon'})",0.014859071794374321,56062
"frozenset({'Mint Leaves', 'Coriander'})",0.01621028202604141,61160
"frozenset({'Coriander', 'Onion'})",0.036107899623474056,136232
"frozenset({'Coriander', 'Potato'})",0.03036777408655485,114575
"frozenset({'Coriander', 'Spinach'})",0.011714817777452653,44199
"frozenset({'Tomato', 'Coriander'})",0.047381678988707404,178767
"frozenset({'Cucumber', 'Garlic'})",0.01396851346200841,52702
"frozenset({'Ginger', 'Cucumber'})",0.022031246935392643,83122
"frozenset({'Cucumber', 'Lady Finger'})",0.0307229372310103,115915
"frozenset({'Cucumber', 'Lemon'})",0.02124962297046792,80173
"frozenset({'Mango', 'Cucumber'})",0.010138847585712265,38253
"frozenset({'Cucumber', 'Onion'})",0.04874349110528361,183905
"frozenset({'Potato', 'Cucumber'})",0.03924499736808207,148068
"frozenset({'Tomato', 'Cucumber'})",0.06403724018093176,241607
"frozenset({'Cucumber', 'Watermelon'})",0.017117273280016453,64582
"frozenset({'Curry Leaves', 'Onion'})",0.011995237633298824,45257
"frozenset({'Tomato', 'Curry Leaves'})",0.014231970301999993,53696
"frozenset({'Ginger', 'Garlic'})",0.020721649101993842,78181
"frozenset({'Lady Finger', 'Garlic'})",0.011201686547851343,42263
"frozenset({'Garlic', 'Onion'})",0.028893051895696537,109011
"frozenset({'Potato', 'Garlic'})",0.020461372827474997,77199
"frozenset({'Tomato', 'Garlic'})",0.02686835692517773,101372
"frozenset({'Ginger', 'Lady Finger'})",0.017067179373820872,64393
"frozenset({'Ginger', 'Lemon'})",0.013317557728588565,50246
"frozenset({'Ginger', 'Onion'})",0.035962388753096416,135683
"frozenset({'Ginger', 'Potato'})",0.029541357157889102,111457
"frozenset({'Tomato', 'Ginger'})",0.039414892573750686,148709
"frozenset({'Lemon', 'Lady Finger'})",0.013295293770279418,50162
"frozenset({'Lady Finger', 'Onion'})",0.03863114823184414,145752
"frozenset({'Potato', 'Lady Finger'})",0.035300035993399266,133184
"frozenset({'Tomato', 'Lady Finger'})",0.04737611299913012,178746
"frozenset({'Lady Finger', 'Watermelon'})",0.01002037152185287,37806
"frozenset({'Lemon', 'Onion'})",0.023988089842493097,90505
"frozenset({'Potato', 'Lemon'})",0.018978699222934846,71605
"frozenset({'Tomato', 'Lemon'})",0.02920421721777915,110185
"frozenset({'Mango', 'Onion'})",0.011217059280969563,42321
"frozenset({'Tomato', 'Mango'})",0.013877337251789995,52358
"frozenset({'Mint Leaves', 'Onion'})",0.010055887836298415,37940
"frozenset({'Mint Leaves', 'Tomato'})",0.012799655650778152,48292
"frozenset({'Mushroom', 'Onion'})",0.010572994772740646,39891
"frozenset({'Tomato', 'Mushroom'})",0.012916806479023905,48734
"frozenset({'Tomato', 'Muskmelon'})",0.010341873681721873,39019
"frozenset({'Muskmelon', 'Watermelon'})",0.016061060495945575,60597
"frozenset({'Potato', 'Onion'})",0.09190296942893476,346742
"frozenset({'Spinach', 'Onion'})",0.010895822168223289,41109
"frozenset({'Tomato', 'Onion'})",0.10828712236748572,408558
"frozenset({'Watermelon', 'Onion'})",0.015975980369549902,60276
"frozenset({'Tomato', 'Pointed Gourd'})",0.010201928800921516,38491
"frozenset({'Tomato', 'Potato'})",0.08277925232327056,312319
"frozenset({'Potato', 'Watermelon'})",0.013079545412378867,49348
"frozenset({'Tomato', 'Spinach'})",0.014454874932214198,54537
"frozenset({'Tomato', 'Watermelon'})",0.01909293453283059,72036
"frozenset({'Tomato', 'Beans', 'Onion'})",0.010901653204923303,41131
"frozenset({'Tomato', 'Bottle Gourd', 'Cucumber'})",0.012957358688801282,48887
"frozenset({'Bottle Gourd', 'Lady Finger', 'Onion'})",0.010024347228693789,37821
"frozenset({'Tomato', 'Bottle Gourd', 'Lady Finger'})",0.012513404758231966,47212
"frozenset({'Bottle Gourd', 'Potato', 'Onion'})",0.013908082718026437,52474
"frozenset({'Tomato', 'Bottle Gourd', 'Onion'})",0.016036411113531875,60504
"frozenset({'Tomato', 'Bottle Gourd', 'Potato'})",0.014452754555232374,54529
"frozenset({'Tomato', 'Brinjal', 'Lady Finger'})",0.010900327969309663,41126
"frozenset({'Potato', 'Brinjal', 'Onion'})",0.012685685388005134,47862
"frozenset({'Tomato', 'Brinjal', 'Onion'})",0.014133637819467923,53325
"frozenset({'Tomato', 'Potato', 'Brinjal'})",0.012837292342205521,48434
"frozenset({'Capsicum', 'Tomato', 'Chilli'})",0.0114810462152066,43317
"frozenset({'Capsicum', 'Cucumber', 'Onion'})",0.011755635034352757,44353
"frozenset({'Tomato', 'Capsicum', 'Cucumber'})",0.015348613830052845,57909
"frozenset({'Capsicum', 'Lady Finger', 'Onion'})",0.010006589071471016,37754
"frozenset({'Tomato', 'Capsicum', 'Lady Finger'})",0.012546270601450232,47336
"frozenset({'Capsicum', 'Potato', 'Onion'})",0.015485643192503196,58426
"frozenset({'Tomato', 'Capsicum', 'Onion'})",0.01973302333421859,74451
"frozenset({'Capsicum', 'Potato', 'Tomato'})",0.016063710967172854,60607
"frozenset({'Tomato', 'Carrot', 'Cucumber'})",0.011930036041107749,45011
"frozenset({'Potato', 'Onion', 'Carrot'})",0.010815777937159448,40807
"frozenset({'Tomato', 'Carrot', 'Onion'})",0.014000319116735764,52822
"frozenset({'Tomato', 'Potato', 'Carrot'})",0.01145931235114291,43235
"frozenset({'Coriander', 'Chilli', 'Onion'})",0.01371777888390777,51756
"frozenset({'Coriander', 'Potato', 'Chilli'})",0.011482901545065698,43324
"frozenset({'Tomato', 'Coriander', 'Chilli'})",0.01745891902121278,65871
"frozenset({'Cucumber', 'Chilli', 'Onion'})",0.014408491685736807,54362
"frozenset({'Potato', 'Cucumber', 'Chilli'})",0.011928180711248654,45004
"frozenset({'Tomato', 'Cucumber', 'Chilli'})",0.017883524511822957,67473
"frozenset({'Ginger', 'Chilli', 'Onion'})",0.012874663986510161,48575
"frozenset({'Ginger', 'Potato', 'Chilli'})",0.010819753644000367,40822
"frozenset({'Ginger', 'Tomato', 'Chilli'})",0.01448058450311881,54634
"frozenset({'Lady Finger', 'Chilli', 'Onion'})",0.0126939018488097,47893
"frozenset({'Potato', 'Lady Finger', 'Chilli'})",0.011459047304020182,43234
"frozenset({'Tomato', 'Lady Finger', 'Chilli'})",0.015339602227880094,57875
"frozenset({'Potato', 'Chilli', 'Onion'})",0.023309834255432274,87946
"frozenset({'Tomato', 'Chilli', 'Onion'})",0.029407508360911487,110952
"frozenset({'Tomato', 'Potato', 'Chilli'})",0.023433876308868954,88414
"frozenset({'Coriander', 'Cucumber', 'Onion'})",0.011302934548733419,42645
"frozenset({'Tomato', 'Coriander', 'Cucumber'})",0.015020485492115643,56671
"frozenset({'Tomato', 'Ginger', 'Coriander'})",0.010497191295640453,39605
