antecedents,consequents,support,confidence,lift
Bhujia,Crisps,0.011295960483476043,0.12234723557905047,0.5197595845149133
Namkeen,Bhujia,0.022779306336403585,0.13938357648297953,1.509672001133454
Bhujia,Namkeen,0.022779306336403585,0.24672405350073454,1.5096720011334537
Bhujia,Potato Chips,0.014405250276584073,0.15602414258995945,0.48448724317119174
Chips,Crisps,0.051551676145788,0.2505281214758811,1.064301875815348
Crisps,Chips,0.051551676145788,0.219003540601208,1.0643018758153482
Nachos,Chips,0.013547308541450025,0.1876216485356911,0.9117938090495079
Chips,Namkeen,0.020599861966707503,0.10011012457842934,0.6125606723853004
Namkeen,Chips,0.020599861966707503,0.1260478433176344,0.6125606723853003
Chips,Potato Chips,0.07895896532771468,0.38372062241564614,1.1915319220222642
Potato Chips,Chips,0.07895896532771468,0.24518392346375234,1.1915319220222642
Puffs,Chips,0.018928645939157496,0.22056555269922878,1.071892859967504
Nachos,Crisps,0.016678387331005906,0.23098510795600286,0.9812785975272315
Crisps,Namkeen,0.025999720011395645,0.11045287297803902,0.6758465881770984
Namkeen,Crisps,0.025999720011395645,0.15908886377953543,0.6758465881770985
Crisps,Potato Chips,0.07857384481549895,0.33380001388471064,1.0365181042687954
Potato Chips,Crisps,0.07857384481549895,0.24398804459427229,1.0365181042687954
Crisps,Puffs,0.03047626933160619,0.12947029828986648,1.5086492711749384
Puffs,Crisps,0.03047626933160619,0.35512393284458404,1.5086492711749384
Mixture Namkeen,Namkeen,0.015438593433123305,0.31970671178793003,1.95624327872533
Nachos,Potato Chips,0.020746392967819285,0.28732441118336677,0.8922017423665912
Peanut Namkeen,Namkeen,0.015670646245292897,0.27765659685358557,1.6989441615128507
Namkeen,Potato Chips,0.031241063106925687,0.19115995213668374,0.5935912011952876
Puffs,Namkeen,0.011024687477700324,0.1284648830492875,0.7860597064477767
Peanut Namkeen,Potato Chips,0.012272652249250867,0.21745005308367918,0.675227403894868
Popcorn,Potato Chips,0.010544240106025256,0.18972800784121538,0.5891447178974469
Puffs,Potato Chips,0.029376469735901023,0.3423085467644165,1.0629388592230702
"Chips, Crisps",Potato Chips,0.02442383084330498,0.4737737483885966,1.4711655096026421
"Chips, Potato Chips",Crisps,0.02442383084330498,0.3093230862630388,1.314076595486862
"Crisps, Potato Chips",Chips,0.02442383084330498,0.3108391971992097,1.5105999644931356
Chips,"Crisps, Potato Chips",0.02442383084330498,0.11869364718838187,1.5105999644931356
Crisps,"Chips, Potato Chips",0.02442383084330498,0.1037581283410085,1.3140765954868623
"Crisps, Namkeen",Potato Chips,0.010558947678627554,0.40611774565262937,1.2610796234992647
"Crisps, Potato Chips",Namkeen,0.010558947678627554,0.1343824742625394,0.822268668006416
"Namkeen, Potato Chips",Crisps,0.010558947678627554,0.3379829822848375,1.4358305164318597
"Crisps, Potato Chips",Puffs,0.013057600846284621,0.16618253665638322,1.9364376704172463
"Crisps, Puffs",Potato Chips,0.013057600846284621,0.42845141917494817,1.3304303004848788
"Potato Chips, Puffs",Crisps,0.013057600846284621,0.44449183185299185,1.8883049441269342
Puffs,"Crisps, Potato Chips",0.013057600846284621,0.152153353010251,1.9364376704172463
