cohort_week,purchase_week,l0_category,customer_count,cohort_index,min_val,mean_val,final_customer_count
2022-05-30,2022-05-30,All,1531955,0,67527,626385.1428571428,1531955.0
2022-05-30,2022-06-06,All,33825,1,419,45068.0,33825.0
2022-05-30,2022-06-13,All,28434,2,532,42000.25,28434.0
2022-05-30,2022-06-20,All,25574,3,535,41981.36363636364,25574.0
2022-05-30,2022-06-27,All,17188,4,526,42538.7,17188.0
2022-06-06,2022-06-06,All,118617,0,67527,626385.1428571428,118617.0
2022-06-06,2022-06-13,All,31245,1,419,45068.0,31245.0
2022-06-06,2022-06-20,All,25547,2,532,42000.25,25547.0
2022-06-06,2022-06-27,All,16971,3,535,41981.36363636364,16971.0
2022-06-13,2022-06-13,All,102530,0,67527,626385.1428571428,102530.0
2022-06-13,2022-06-20,All,22901,1,419,45068.0,22901.0
2022-06-13,2022-06-27,All,14415,2,532,42000.25,14415.0
2022-06-20,2022-06-20,All,135862,0,67527,626385.1428571428,135862.0
2022-06-20,2022-06-27,All,27695,1,419,45068.0,27695.0
2022-06-27,2022-06-27,All,67527,0,67527,626385.1428571428,626385.1428571428
2022-05-16,2022-05-16,"Chicken, Meat & Fish",2893,0,872,2750.3571428571427,2893.0
2022-05-02,2022-06-06,"Dry Fruits, Masala & Oil",8203,5,71,14849.222222222223,8203.0
2022-03-28,2022-03-28,Sweet Tooth,29207,0,7327,30170.35714285714,29207.0
2022-04-11,2022-04-18,"Atta, Rice & Dal",13588,1,39,11190.23076923077,13588.0
2022-05-30,2022-05-30,Paan Corner,7285,0,1040,3129.5714285714284,7285.0
2022-04-04,2022-05-16,Home & Office,9682,6,21,4728.125,9682.0
2022-04-04,2022-06-20,Dairy & Breakfast,52556,11,14889,44710.0,52556.0
2022-06-06,2022-06-13,Vegetables & Fruits,13615,1,100,21224.384615384617,13615.0
2022-05-16,2022-05-16,Cold Drinks & Juices,50482,0,12275,54097.57142857143,50482.0
2022-05-23,2022-06-13,Munchies,127,3,46,11580.181818181818,127.0
2022-05-09,2022-05-30,Sweet Tooth,2968,3,20,6109.363636363636,2968.0
2022-05-09,2022-05-16,Personal Care,3367,1,16,7192.692307692308,3367.0
2022-03-28,2022-05-30,Pet Care,684,9,131,414.2,684.0
2022-03-28,2022-06-20,Organic & Premium,10426,12,4453,7439.5,10426.0
2022-06-06,2022-06-13,Pharma & Wellness,1275,1,4,1777.3846153846155,1275.0
2022-05-30,2022-05-30,Dairy & Breakfast,258874,0,22088,124116.35714285714,258874.0
2022-04-04,2022-05-02,Specials,1432,4,1,951.6,1432.0
2022-04-11,2022-05-09,Cleaning Essentials,9032,4,21,7476.7,9032.0
2022-05-23,2022-05-23,Organic & Premium,54043,0,2606,11719.857142857143,54043.0
2022-04-11,2022-04-25,"Tea, Coffee & Health Drinks",9755,2,17,7345.0,9755.0
2022-03-28,2022-05-23,"Chicken, Meat & Fish",6,8,6,528.1666666666666,528.1666666666666
2022-05-02,2022-06-27,Dairy & Breakfast,7912,8,155,17252.5,7912.0
2022-06-13,2022-06-13,Pharma & Wellness,3912,0,2729,8269.785714285714,3912.0
2022-04-11,2022-06-27,Instant & Frozen Food,5661,11,5661,17028.666666666668,17028.666666666668
2022-06-06,2022-06-06,Cleaning Essentials,14633,0,8524,38305.71428571428,14633.0
2022-06-13,2022-06-13,Vegetables & Fruits,30243,0,18019,157085.7857142857,30243.0
2022-04-25,2022-06-27,Organic & Premium,965,9,965,4072.8,4072.8
2022-03-28,2022-04-25,Bakery & Biscuits,31639,4,33,8990.6,31639.0
2022-03-28,2022-05-23,Cold Drinks & Juices,45,8,45,8803.0,8803.0
2022-05-09,2022-06-13,Sauces & Spreads,2236,5,10,4936.111111111111,2236.0
2022-04-04,2022-05-09,Baby Care,3076,5,2,1212.6666666666667,3076.0
2022-03-28,2022-05-30,Specials,3,9,3,1051.4,1051.4
2022-05-16,2022-06-27,Cold Drinks & Juices,2399,6,36,11457.75,2399.0
2022-05-16,2022-06-06,Organic & Premium,931,3,5,2604.5454545454545,931.0
2022-04-18,2022-05-23,Cleaning Essentials,20,5,20,7490.444444444444,7490.444444444444
2022-04-11,2022-04-11,Instant & Frozen Food,31497,0,10267,42196.57142857143,31497.0
2022-04-18,2022-06-13,"Atta, Rice & Dal",8902,8,88,10512.5,8902.0
2022-06-13,2022-06-13,Personal Care,15547,0,10583,42527.92857142857,15547.0
2022-05-09,2022-06-06,Dairy & Breakfast,11642,4,93,22408.8,11642.0
2022-05-02,2022-05-23,Instant & Frozen Food,18,3,18,8319.09090909091,8319.09090909091
2022-04-11,2022-06-27,Munchies,7800,11,7800,23396.666666666668,23396.666666666668
2022-05-16,2022-06-27,"Chicken, Meat & Fish",177,6,2,728.625,177.0
2022-04-11,2022-06-13,"Tea, Coffee & Health Drinks",7558,9,2383,11221.8,7558.0
2022-06-06,2022-06-06,Paan Corner,1583,0,1040,3129.5714285714284,1583.0
2022-04-25,2022-04-25,Munchies,29577,0,12991,67901.64285714286,29577.0
2022-03-28,2022-05-09,Paan Corner,1508,6,2,607.25,1508.0
2022-05-09,2022-05-16,Pharma & Wellness,828,1,4,1777.3846153846155,828.0
2022-04-11,2022-05-16,Instant & Frozen Food,8433,5,16,8712.0,8433.0
2022-06-06,2022-06-13,Personal Care,4365,1,16,7192.692307692308,4365.0
2022-05-09,2022-06-13,Bakery & Biscuits,4305,5,35,9023.0,4305.0
2022-05-09,2022-05-16,Vegetables & Fruits,12607,1,100,21224.384615384617,12607.0
2022-03-28,2022-04-25,Sauces & Spreads,17326,4,13,4811.9,17326.0
2022-04-11,2022-04-11,Organic & Premium,8052,0,2606,11719.857142857143,8052.0
2022-04-25,2022-05-30,Cleaning Essentials,3577,5,20,7490.444444444444,3577.0
2022-04-25,2022-05-02,"Dry Fruits, Masala & Oil",9295,1,41,13341.0,9295.0
2022-04-25,2022-05-02,Dairy & Breakfast,16570,1,68,22968.46153846154,16570.0
2022-04-04,2022-05-02,Pet Care,839,4,4,330.6666666666667,839.0
2022-05-02,2022-05-02,Organic & Premium,5440,0,2606,11719.857142857143,5440.0
2022-05-02,2022-05-02,Pharma & Wellness,4689,0,2729,8269.785714285714,4689.0
2022-05-30,2022-06-13,"Tea, Coffee & Health Drinks",4258,2,17,7345.0,4258.0
2022-05-09,2022-05-16,Pet Care,149,1,2,300.4166666666667,149.0
2022-03-28,2022-03-28,Dairy & Breakfast,115619,0,22088,124116.35714285714,115619.0
2022-06-06,2022-06-27,"Chicken, Meat & Fish",319,3,7,779.4,319.0
2022-05-23,2022-06-06,Instant & Frozen Food,87,2,17,8040.166666666667,87.0
2022-03-28,2022-05-16,Sweet Tooth,16801,7,34,5138.857142857143,16801.0
2022-04-18,2022-05-09,Sauces & Spreads,3793,3,8,4593.272727272727,3793.0
2022-03-28,2022-05-02,"Tea, Coffee & Health Drinks",29740,5,20,8259.888888888889,29740.0
2022-05-02,2022-05-30,Bakery & Biscuits,4277,4,33,8990.6,4277.0
2022-05-02,2022-05-02,Vegetables & Fruits,41849,0,18019,157085.7857142857,41849.0
2022-06-20,2022-06-20,Paan Corner,2059,0,1040,3129.5714285714284,2059.0
2022-05-02,2022-05-09,"Chicken, Meat & Fish",564,1,4,751.5,564.0
2022-04-18,2022-05-09,Munchies,10592,3,46,11580.181818181818,10592.0
2022-05-09,2022-06-13,"Dry Fruits, Masala & Oil",6399,5,71,14849.222222222223,6399.0
2022-03-28,2022-06-06,Specials,1447,10,1077,2341.75,1447.0
2022-05-23,2022-05-23,Personal Care,191353,0,10583,42527.92857142857,191353.0
2022-03-28,2022-05-30,"Atta, Rice & Dal",34582,9,4306,19055.0,34582.0
2022-03-28,2022-03-28,"Tea, Coffee & Health Drinks",36755,0,7190,32406.85714285714,36755.0
2022-05-16,2022-06-20,Home & Office,1633,5,23,4981.666666666667,1633.0
2022-04-11,2022-04-11,Pharma & Wellness,7126,0,2729,8269.785714285714,7126.0
2022-05-16,2022-06-13,Cleaning Essentials,1991,4,21,7476.7,1991.0
2022-05-16,2022-05-16,Dairy & Breakfast,129392,0,22088,124116.35714285714,129392.0
2022-06-06,2022-06-27,Cold Drinks & Juices,3678,3,28,11943.0,3678.0
2022-05-23,2022-05-30,Home & Office,33,1,9,5031.615384615385,33.0
2022-03-28,2022-06-20,Personal Care,26108,12,12615,19361.5,26108.0
2022-04-11,2022-04-11,Vegetables & Fruits,59317,0,18019,157085.7857142857,59317.0
2022-05-09,2022-05-16,Organic & Premium,1260,1,8,2608.6153846153848,1260.0
2022-05-30,2022-06-27,Bakery & Biscuits,3013,4,33,8990.6,3013.0
2022-05-16,2022-05-23,"Atta, Rice & Dal",39,1,39,11190.23076923077,11190.23076923077
2022-04-04,2022-06-13,Sweet Tooth,13997,10,2639,10529.75,13997.0
2022-06-06,2022-06-13,Organic & Premium,1486,1,8,2608.6153846153848,1486.0
2022-03-28,2022-04-18,Instant & Frozen Food,30708,3,18,8319.09090909091,30708.0
2022-04-18,2022-05-23,Specials,7,5,7,411.125,411.125
2022-05-09,2022-06-20,Pet Care,184,6,1,283.375,184.0
2022-03-28,2022-06-20,Pharma & Wellness,5357,12,2428,3892.5,5357.0
2022-05-16,2022-06-13,Pet Care,113,4,4,330.6666666666667,113.0
2022-03-28,2022-06-20,Sweet Tooth,17532,12,8567,13049.5,17532.0
2022-03-28,2022-06-20,Vegetables & Fruits,57984,12,28573,43278.5,57984.0
2022-04-11,2022-04-11,Personal Care,33860,0,10583,42527.92857142857,33860.0
2022-04-11,2022-05-23,Sauces & Spreads,16,6,16,4745.375,4745.375
2022-05-30,2022-06-27,Instant & Frozen Food,2956,4,17,8647.1,2956.0
2022-06-20,2022-06-20,Cold Drinks & Juices,24022,0,12275,54097.57142857143,24022.0
2022-04-04,2022-04-04,"Atta, Rice & Dal",91452,0,12601,72611.35714285714,91452.0
2022-05-23,2022-05-23,"Dry Fruits, Masala & Oil",491472,0,17177,91235.14285714286,491472.0
2022-03-28,2022-05-09,Instant & Frozen Food,29365,6,33,8565.625,29365.0
2022-05-16,2022-06-06,Personal Care,2920,3,23,7276.0,2920.0
2022-04-04,2022-04-25,Cleaning Essentials,21453,3,13,6894.909090909091,21453.0
2022-04-25,2022-06-27,Pharma & Wellness,644,9,644,2397.8,2397.8
2022-05-02,2022-05-30,Cold Drinks & Juices,5577,4,16,11923.7,5577.0
2022-05-30,2022-06-27,Sauces & Spreads,1556,4,13,4811.9,1556.0
2022-03-28,2022-06-06,Home & Office,16001,10,2186,8722.25,16001.0
2022-06-13,2022-06-13,Organic & Premium,3613,0,2606,11719.857142857143,3613.0
2022-04-25,2022-06-27,Vegetables & Fruits,6859,9,6859,27742.8,27742.8
2022-05-09,2022-06-20,Cold Drinks & Juices,4528,6,36,11457.75,4528.0
2022-05-09,2022-06-06,Sweet Tooth,3517,4,14,6128.1,3517.0
2022-04-11,2022-05-02,Home & Office,5907,3,13,4736.363636363636,5907.0
2022-05-23,2022-06-06,"Atta, Rice & Dal",116,2,45,11105.583333333334,116.0
2022-03-28,2022-06-06,Pet Care,969,10,147,543.75,969.0
2022-04-04,2022-06-06,"Tea, Coffee & Health Drinks",19939,9,2383,11221.8,19939.0
2022-04-04,2022-04-11,Pet Care,712,1,2,300.4166666666667,712.0
2022-05-02,2022-05-02,Personal Care,21371,0,10583,42527.92857142857,21371.0
2022-05-30,2022-06-06,Paan Corner,764,1,3,596.7692307692307,764.0
2022-05-09,2022-05-09,"Atta, Rice & Dal",31395,0,12601,72611.35714285714,31395.0
2022-06-20,2022-06-20,"Chicken, Meat & Fish",1957,0,872,2750.3571428571427,1957.0
2022-03-28,2022-04-04,Paan Corner,1056,1,3,596.7692307692307,1056.0
2022-05-23,2022-05-23,Pharma & Wellness,31899,0,2729,8269.785714285714,31899.0
2022-03-28,2022-06-27,Baby Care,2493,13,2493,2493.0,2493.0
2022-05-02,2022-05-30,"Chicken, Meat & Fish",343,4,14,781.5555555555555,343.0
2022-05-23,2022-05-23,Vegetables & Fruits,1090952,0,18019,157085.7857142857,1090952.0
2022-05-02,2022-05-30,Sauces & Spreads,2228,4,13,4811.9,2228.0
2022-05-09,2022-06-20,"Chicken, Meat & Fish",411,6,2,728.625,411.0
2022-04-18,2022-05-09,Bakery & Biscuits,7361,3,23,8671.818181818182,7361.0
2022-05-16,2022-06-06,Vegetables & Fruits,7972,3,106,19927.727272727272,7972.0
2022-05-02,2022-05-09,Cold Drinks & Juices,8795,1,24,12378.0,8795.0
2022-04-04,2022-04-04,Baby Care,7758,0,1253,5108.285714285715,7758.0
2022-03-28,2022-05-30,Instant & Frozen Food,22127,9,3071,12228.8,22127.0
2022-04-04,2022-06-27,Paan Corner,1039,12,1039,1419.5,1419.5
2022-04-18,2022-06-27,Home & Office,2186,10,2186,8722.25,8722.25
2022-05-16,2022-06-13,Specials,505,4,1,951.6,505.0
2022-05-02,2022-05-23,Sweet Tooth,20,3,20,6109.363636363636,6109.363636363636
2022-05-16,2022-06-06,Pharma & Wellness,737,3,6,1711.7272727272727,737.0
2022-04-25,2022-06-27,Personal Care,2783,9,2783,12413.0,12413.0
2022-04-18,2022-06-20,Instant & Frozen Food,6184,9,3071,12228.8,6184.0
2022-05-09,2022-06-20,Specials,1402,6,9,406.42857142857144,1402.0
2022-04-11,2022-05-23,Bakery & Biscuits,33,6,33,8913.75,8913.75
2022-04-04,2022-04-18,Dairy & Breakfast,61350,2,80,21660.916666666668,61350.0
2022-05-09,2022-05-16,Sweet Tooth,3503,1,12,6560.7692307692305,3503.0
2022-04-25,2022-05-09,Pharma & Wellness,1124,2,2,1699.6666666666667,1124.0
2022-03-28,2022-05-16,Pet Care,729,7,1,234.71428571428572,729.0
2022-03-28,2022-04-18,Organic & Premium,9961,3,5,2604.5454545454545,9961.0
2022-04-11,2022-05-02,Sauces & Spreads,5958,3,8,4593.272727272727,5958.0
2022-05-30,2022-06-13,Baby Care,715,2,2,1049.5,715.0
2022-04-25,2022-05-09,Vegetables & Fruits,15057,2,130,19766.416666666668,15057.0
2022-04-04,2022-04-25,Paan Corner,1279,3,2,564.6363636363636,1279.0
2022-05-02,2022-05-09,Munchies,8834,1,32,11809.153846153846,8834.0
2022-05-02,2022-05-30,Home & Office,2248,4,6,4846.1,2248.0
2022-04-11,2022-06-06,Cold Drinks & Juices,13164,8,45,8803.0,13164.0
2022-04-11,2022-05-30,Personal Care,7913,7,45,6508.714285714285,7913.0
2022-05-09,2022-06-06,Specials,187,4,1,951.6,187.0
2022-05-09,2022-06-27,Baby Care,338,7,7,1004.4285714285714,338.0
2022-04-11,2022-05-30,Pharma & Wellness,1360,7,11,1325.2857142857142,1360.0
2022-05-23,2022-05-23,Baby Care,21931,0,1253,5108.285714285715,21931.0
2022-05-16,2022-06-06,Instant & Frozen Food,3203,3,18,8319.09090909091,3203.0
2022-04-11,2022-04-18,Munchies,14501,1,32,11809.153846153846,14501.0
2022-04-18,2022-05-02,Cold Drinks & Juices,10946,2,18,11940.0,10946.0
2022-04-11,2022-05-02,Bakery & Biscuits,11181,3,23,8671.818181818182,11181.0
2022-03-28,2022-05-16,Specials,15,7,1,445.0,15.0
2022-04-11,2022-05-30,Vegetables & Fruits,16780,7,279,17309.428571428572,16780.0
2022-05-09,2022-06-06,Pet Care,149,4,4,330.6666666666667,149.0
2022-03-28,2022-06-06,Sweet Tooth,19195,10,2639,10529.75,19195.0
2022-04-04,2022-04-11,Sweet Tooth,18013,1,12,6560.7692307692305,18013.0
2022-04-18,2022-05-09,Home & Office,3615,3,13,4736.363636363636,3615.0
2022-04-25,2022-05-09,Personal Care,4761,2,28,7022.333333333333,4761.0
2022-03-28,2022-05-16,Cleaning Essentials,19327,7,33,5784.571428571428,19327.0
2022-05-02,2022-06-06,"Atta, Rice & Dal",6805,5,50,12834.666666666666,6805.0
2022-03-28,2022-04-25,Baby Care,4126,4,1,1179.8,4126.0
